id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Partir,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",Une balise d'avertissement autonome a été laissée émettant une plainte déformée entre les canaux officiels. Le message qu'elle était censée transmettre a été corrompu.,beaconLeave:Partir,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Cette balise d'avertissement autonome émet un message en boucle.

""DANGER : Ce système stellaire est connu pour contenir des systèmes d'armes autonomes potentiellement actifs. L'accès à ce système par des parties non autorisées est interdit par le décret 224.34 de la Marine de l'Hégémonie.""",beaconLeave:Partir,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Cette balise d'avertissement autonome émet un message en boucle.

""DANGER : Ce système stellaire est connu pour contenir des systèmes d'armes autonomes potentiellement actifs. L'accès à ce système par des parties non autorisées est interdit par le décret 224.34 de la Marine de l'Hégémonie.""",beaconLeave:Partir,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Cette balise d'avertissement autonome émet un message en boucle.

""DANGER : Ce système stellaire est connu pour contenir des systèmes d'armes autonomes potentiellement actifs. L'accès à ce système par des parties non autorisées est interdit par le décret 224.34 de la Marine de l'Hégémonie.""",beaconLeave:Partir,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","Cette balise d'avertissement autonome émet un message en boucle.

""Ce monde est corrompu par le péché technologique et son abomination témoigne du sort réservé à ceux qui s'écartent du chemin de la vertu. Toute intrusion est interdite. Quiconque méprise cet avertissement sera corrompu dans sa chair et mis hors-la-loi par la sainte justice qu'applique cet ordre des Chevaliers de Ludd.""",beaconLeave:Partir,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","Un anneau silencieux de matériau adamantin, vestige d'une époque révolue.

La Porte est inerte.",,
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Devant vous, vaste et puissant, flotte un anneau d'adamantine, vestige d'un âge révolu.

Vous avez scanné ce Portail et découvert le rythme du cœur secret de la chose, caché dans un repli de l'espace. Utiliser le Dispositif de Janus pour créer un pont vers un autre Portail nécessite une quantité massive de carburant. Plus la cible est éloignée, plus il faut de carburant.

Le Dispositif de Janus fonctionne en transférant d'énormes quantités d'énergie à phase particulière via le champ hyperpropulseur d'un vaisseau de tête pour stabiliser une connexion directe de portail à portail.",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Devant vous, vaste et puissant, flotte un anneau d'adamantine, vestige d'un âge révolu.

Vous avez scanné ce Portail et découvert le rythme du cœur secret de la chose, caché dans un repli de l'espace. Utiliser le Dispositif de Janus pour créer un pont vers un autre Portail nécessite une quantité massive de carburant. Plus la cible est éloignée, plus il faut de carburant.

Vous devez intégrer le Dispositif de Janus à votre flotte pour utiliser le Portail.",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Un anneau silencieux de matériau adamantin, vestige d'une époque révolue.

Votre officier des senseurs acquiesce à votre signal. Votre interface de commandement s'allume. 'EXÉCUTER LE SCAN' clignote dans l'attente. La Porte attend, froide comme un tombeau.",,
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Un anneau silencieux de matériau adamantin, vestige d'une époque révolue.

Vous avez scanné cette Porte et découvert le rythme du coeur secret de la chose, caché dans un repli de l'espace.",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","Un anneau silencieux de matériau adamantin, vestige d'un âge révolu.

Votre officier capteurs vous fait un signe de tête ; le scanner à hyperondes est prêt. Les mots 'LANCER LE SCAN' clignotent avec insistance sur votre interface de commandement.

Vous aurez besoin d'un scan de ce Portail pour pouvoir l'utiliser, avec le Dispositif de Janus, comme point d'accès ou de sortie du réseau de Portails.",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions","Vous ordonnez à votre $shipOrFleet de traverser la porte inactive. Votre équipage de passerelle est particulièrement silencieux pendant le passage.

Rien ne se passe.",,
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Votre écran de commandement se superpose d'une représentation de la variété hyperspaciale entourant le Portail. Elle est calme et froide, dépourvue de sillages de propulsion.

Alors que le scan commence, vous observez une ligne de perturbation jaillir entre l'icône représentant votre vaisseau amiral et celle représentant le Portail. Des spirales et des ondulations se déversent en vagues non-newtoniennes, surgissant d'un point au centre du Portail. Non, ce n'est pas un point - un cercle, une sphère, un tore et un entonnoir inversé ; puis une autre forme qui vous fait fermer les yeux. Vous entendez une musique lointaine et ténue.

""Capitaine ?"" Votre officier capteurs vous regarde, ""Le scan est terminé."" Vous réalisez que c'est la deuxième fois qu'il le dit, et vous faites un geste comme si vous étiez simplement perdu dans vos pensées.",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Votre écran de commandement affiche une représentation de la variété hyperspaciale. Elle est calme et froide.

Le scan commence, une ligne de perturbation jaillissant entre votre vaisseau amiral et le Portail. Des spirales et des ondulations se déversent en rafales non-newtoniennes depuis un point au centre du Portail. Non, pas un point - un cercle, une sphère, un tore et un entonnoir inversé ; puis une géométrie qui défie toute compréhension.

Vous entendez la musique ténue.

""Capitaine,"" rapporte votre officier capteurs, ""Le scan est terminé.""",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","Votre écran de commandement affiche la variété hyperspaciale. Elle est calme et froide.

Le faisceau de scan flamboie dans l'affichage hyperdimensionnel. Des spirales et des ondulations se déversent par rafales depuis le Portail, surgissant en une géométrie inconcevable. Vous percevez un soupçon de musique ténue.

""Capitaine,"" rapporte votre officier capteurs, ""Le scan est terminé.""",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:Traverser le Portail,
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:Voyager à travers le Portail,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:Scanner le Portail,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:Partir,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:Continuer,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"Vous faites personnellement vos adieux au groupe de fidèles luddics qui ont maintenu la vigile depuis votre vaisseau amiral. Leur flotte repart ; leur dévotion collective n'a pas été interrompue.

""Que les bénédictions de Ludd soient sur vous, capitaine,"" dit leur chef. ""Je parlerai en votre faveur auprès du Prophète Revenu.""

Vous savez qu'il faut hocher la tête en signe d'acceptation sans soulever de questions théologiques, et vous adressez un geste poli alors que leur navette quitte la soute.",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,"200:devGateScanOn:>> (dev) Turn ON ""allow player to scan gates""",
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,"200:devGateScanOff:>> (dev) Turn OFF ""allow player to scan gates""",
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,"201:devGateActiveOn:>> (dev) Turn ON ""gates active""",
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,"201:devGateActiveOff:>> (dev) Turn OFF ""gates active""",
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,"202:devGateCanUseOn:>> (dev) Turn ON ""player can use gates""",
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,"202:devGateCanUseOff:>> (dev) Turn OFF ""player can use gates""",
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) Explode the gate,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Partir,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Partir,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
# Abyssal Lights,,,,,,
